lam_draft,K,ffn_active,ka_inter_dense,ka_inter_subnet,abs_d_inter,ka_intra_dense,ka_intra_subnet,abs_d_intra,label_agree,ms_per_fwd_sub,ms_per_fwd_dense,speedup_inter,speedup_intra,response_len,pss_mode,n_items,n_templates
0.1,2,1.0,0.18624380862247936,0.17710664144201416,0.0091371671804652,-0.06319023279218183,-0.08620180827945134,0.02301157548726951,0.6109375,15.354698315240967,14.487042853579624,0.47174625499479483,0.9434925099895897,10,edit_distance,16,8
0.1,3,1.0,0.18624380862247936,0.17959650731629528,0.0066473013061840724,-0.040957179391899246,-0.0327223420244398,0.008234837367459447,0.64375,15.354698315240967,14.487042853579624,0.3144975033298632,0.9434925099895897,10,edit_distance,16,8
0.1,4,1.0,0.18624380862247936,0.16872909303517236,0.017514715587306995,0.0042471261113316006,-0.009109748726362055,0.013356874837693655,0.68125,15.354698315240967,14.487042853579624,0.23587312749739742,0.9434925099895897,10,edit_distance,16,8
0.1,5,1.0,0.18624380862247936,0.16532686300094457,0.020916945621534788,-0.008528144077165623,-0.004170125379147072,0.004358018698018551,0.6828125,15.354698315240967,14.487042853579624,0.18869850199791793,0.9434925099895897,10,edit_distance,16,8
0.1,6,1.0,0.18624380862247936,0.1668848235230843,0.019358985099395043,0.0052791856207101695,0.015360644064501106,0.010081458443790936,0.69609375,15.354698315240967,14.487042853579624,0.1572487516649316,0.9434925099895897,10,edit_distance,16,8
0.3,2,0.2032623291015625,0.18624380862247936,0.18809851658243837,0.0018547079599590122,-0.06319023279218183,-0.09558351368706419,0.03239328089488236,0.3171875,22.359583916901705,14.487042853579624,0.32395600265684743,0.6479120053136949,10,edit_distance,16,8
0.3,3,0.2032623291015625,0.18624380862247936,0.168434889948462,0.01780891867401735,-0.040957179391899246,-0.029154218045521096,0.011802961346378149,0.3609375,22.359583916901705,14.487042853579624,0.2159706684378983,0.6479120053136949,10,edit_distance,16,8
0.3,4,0.2032623291015625,0.18624380862247936,0.16756380680361782,0.018680001818861536,0.0042471261113316006,-0.015285905242833575,0.019533031354165176,0.4140625,22.359583916901705,14.487042853579624,0.16197800132842372,0.6479120053136949,10,edit_distance,16,8
0.3,5,0.2032623291015625,0.18624380862247936,0.147517239319368,0.03872656930311136,-0.008528144077165623,-0.013584006754311817,0.0050558626771461945,0.4109375,22.359583916901705,14.487042853579624,0.12958240106273897,0.6479120053136949,10,edit_distance,16,8
0.3,6,0.2032623291015625,0.18624380862247936,0.13286422310874813,0.05337958551373123,0.0052791856207101695,-0.005915978199806604,0.011195163820516774,0.41171875,22.359583916901705,14.487042853579624,0.10798533421894915,0.6479120053136949,10,edit_distance,16,8
0.6,2,0.04784393310546875,0.18624380862247936,0.13945398349896465,0.046789825123514706,-0.06319023279218183,-0.07427207637231503,0.0110818435801332,0.28515625,24.13376108330946,14.487042853579624,0.30014059564877854,0.6002811912975571,10,edit_distance,16,8
0.6,3,0.04784393310546875,0.18624380862247936,0.16567577110910414,0.020568037513375215,-0.040957179391899246,0.019103953515106742,0.06006113290700599,0.33984375,24.13376108330946,14.487042853579624,0.20009373043251902,0.6002811912975571,10,edit_distance,16,8
0.6,4,0.04784393310546875,0.18624380862247936,0.19248178145417605,0.006237972831696692,0.0042471261113316006,-0.0071845152565293,0.0114316413678609,0.33125,24.13376108330946,14.487042853579624,0.15007029782438927,0.6002811912975571,10,edit_distance,16,8
0.6,5,0.04784393310546875,0.18624380862247936,0.19812777993893804,0.011883971316458686,-0.008528144077165623,-0.010668644906033586,0.002140500828867964,0.3484375,24.13376108330946,14.487042853579624,0.12005623825951141,0.6002811912975571,10,edit_distance,16,8
0.6,6,0.04784393310546875,0.18624380862247936,0.19517721388418918,0.008933405261709826,0.0052791856207101695,-0.004569605434125101,0.00984879105483527,0.35703125,24.13376108330946,14.487042853579624,0.10004686521625951,0.6002811912975571,10,edit_distance,16,8
1.0,2,0.0402069091796875,0.18624380862247936,0.18316301007646685,0.0030807985460125087,-0.06319023279218183,-0.04983732623484172,0.013352906557340116,0.2796875,24.58274064010766,14.487042853579624,0.2946588231489428,0.5893176462978856,10,edit_distance,16,8
1.0,3,0.0402069091796875,0.18624380862247936,0.17887994693437637,0.007363861688102991,-0.040957179391899246,-0.009145129224652049,0.0318120501672472,0.2828125,24.58274064010766,14.487042853579624,0.19643921543262852,0.5893176462978856,10,edit_distance,16,8
1.0,4,0.0402069091796875,0.18624380862247936,0.18129942787031716,0.004944380752162192,0.0042471261113316006,-0.007822544137618515,0.012069670248950115,0.30078125,24.58274064010766,14.487042853579624,0.1473294115744714,0.5893176462978856,10,edit_distance,16,8
1.0,5,0.0402069091796875,0.18624380862247936,0.18625543149534385,1.1622872864491818e-05,-0.008528144077165623,-0.02639443180215495,0.017866287724989327,0.31015625,24.58274064010766,14.487042853579624,0.11786352925957713,0.5893176462978856,10,edit_distance,16,8
1.0,6,0.0402069091796875,0.18624380862247936,0.18583100968432742,0.000412798938151937,0.0052791856207101695,-0.00021597646383297864,0.005495162084543148,0.32109375,24.58274064010766,14.487042853579624,0.09821960771631426,0.5893176462978856,10,edit_distance,16,8
2.0,2,0.034027099609375,0.18624380862247936,0.18840571166230546,0.0021619030398261074,-0.06319023279218183,-0.08304782126140031,0.01985758846921848,0.3,24.19049965834953,14.487042853579624,0.29943661888313483,0.5988732377662697,10,edit_distance,16,8
2.0,3,0.034027099609375,0.18624380862247936,0.15690983700706762,0.029333971615411736,-0.040957179391899246,-0.01189199983184075,0.029065179560058496,0.30078125,24.19049965834953,14.487042853579624,0.19962441258875654,0.5988732377662697,10,edit_distance,16,8
2.0,4,0.034027099609375,0.18624380862247936,0.16076555517182745,0.02547825345065191,0.0042471261113316006,-0.024680379342059355,0.028927505453390956,0.3109375,24.19049965834953,14.487042853579624,0.14971830944156742,0.5988732377662697,10,edit_distance,16,8
2.0,5,0.034027099609375,0.18624380862247936,0.1335576998974365,0.05268610872504287,-0.008528144077165623,-0.02211255016070446,0.013584406083538836,0.30625,24.19049965834953,14.487042853579624,0.11977464755325393,0.5988732377662697,10,edit_distance,16,8
2.0,6,0.034027099609375,0.18624380862247936,0.1550633208289901,0.031180487793489253,0.0052791856207101695,-0.0006700019031178339,0.005949187523828003,0.31640625,24.19049965834953,14.487042853579624,0.09981220629437827,0.5988732377662697,10,edit_distance,16,8
3.0,2,0.03058624267578125,0.18624380862247936,0.18931541999154322,0.0030716113690638647,-0.06319023279218183,-0.06447593113952066,0.0012856983473388262,0.27578125,23.88708580438106,14.487042853579624,0.3032400639454018,0.6064801278908036,10,edit_distance,16,8
3.0,3,0.03058624267578125,0.18624380862247936,0.18269505012279463,0.0035487584996847232,-0.040957179391899246,-0.0013984452266755376,0.03955873416522371,0.29140625,23.88708580438106,14.487042853579624,0.2021600426302679,0.6064801278908036,10,edit_distance,16,8
3.0,4,0.03058624267578125,0.18624380862247936,0.1729536223652537,0.013290186257225667,0.0042471261113316006,-0.01615379856123167,0.02040092467256327,0.29375,23.88708580438106,14.487042853579624,0.1516200319727009,0.6064801278908036,10,edit_distance,16,8
3.0,5,0.03058624267578125,0.18624380862247936,0.16066560996879287,0.02557819865368649,-0.008528144077165623,-0.01365404758342037,0.0051259035062547476,0.2890625,23.88708580438106,14.487042853579624,0.12129602557816073,0.6064801278908036,10,edit_distance,16,8
3.0,6,0.03058624267578125,0.18624380862247936,0.13863026751470964,0.04761354110776972,0.0052791856207101695,0.0027120836016470973,0.0025671020190630722,0.2921875,23.88708580438106,14.487042853579624,0.10108002131513395,0.6064801278908036,10,edit_distance,16,8
